id,retweet_count,favorite_count
831262627380748289,1877,11089
830956169170665475,1370,7467
830583320585068544,15309,61996
830173239259324417,5206,0
830097400375152640,2677,9091
829878982036299777,4570,0
829861396166877184,1784,11453
829501995190984704,9707,29725
829449946868879360,1846,9818
829141528400556032,6727,22762
829011960981237760,15015,50002
828801551087042563,3136,0
828770345708580865,5360,23934
828708714936930305,10245,34031
828650029636317184,1232,8900
828409743546925057,1072,6005
828408677031882754,1178,7212
828381636999917570,2048,11785
828376505180889089,986,6960
828372645993398273,2711,11794
828361771580813312,165,2056
828046555563323392,2639,10991
828011680017821696,1978,9724
827933404142436356,4790,18732
827653905312006145,2780,14510
827600520311402496,862,7025
827324948884643840,2789,14861
827199976799354881,2045,9951
826958653328592898,4570,20183
826848821049180160,9273,33836
826615380357632002,3653,0
826598799820865537,228,4827
826598365270007810,2167,9385
826476773533745153,3867,17272
826240494070030336,2407,12450
826204788643753985,850,4572
826115272272650244,2843,14648
825876512159186944,1725,9850
825829644528148480,2318,11949
825535076884762624,16261,53656
825147591692263424,4146,17150
825120256414846976,1161,0
825026590719483904,1161,5863
824796380199809024,5062,0
824775126675836928,3251,13975
824663926340194305,1633,9878
824325613288833024,9824,11102
824297048279236611,3539,14129
824025158776213504,557,4554
823939628516474880,2517,9998
823719002937630720,10269,0
823699002998870016,2321,13126
823581115634085888,2430,12180
823333489516937216,22,661
823322678127919110,3692,14737
823269594223824897,9159,0
822975315408461824,3178,16279
822872901745569793,39615,123165
822859134160621569,2100,12381
822647212903690241,5910,0
822610361945911296,2708,13877
822489057087389700,5910,16995
822462944365645825,13035,26115
822244816520155136,9159,32910
822163064745328640,4341,0
821886076407029760,2121,10603
821813639212650496,3106,0
821765923262631936,1552,7861
821522889702862852,1623,7520
821421320206483457,5088,0
821407182352777218,3965,11031
821153421864615936,8,233
821149554670182400,1815,8061
821107785811234820,1957,9013
821044531881721856,2106,11848
820837357901512704,6191,0
820749716845686786,9125,29607
820690176645140481,2983,11512
820494788566847489,520,0
820446719150292993,2377,0
820314633777061888,520,3140
820078625395449857,5738,18504
820013781606658049,1077,0
819952236453363712,1077,4998
819924195358416896,4512,12155
819711362133872643,2840,12524
819588359383371776,1859,9097
819347104292290561,1108,6784
819238181065359361,376,2126
819227688460238848,6191,21657
819015337530290176,34308,0
819015331746349057,17683,0
819006400881917954,17683,42718
819004803107983360,34308,82070
818646164899774465,19279,0
818627210458333184,7007,21095
818614493328580609,2336,9250
818588835076603904,5644,0
818536468981415936,2255,10199
818307523543449600,7395,0
818259473185828864,2069,10329
818145370475810820,2352,11541
817908911860748288,732,4580
817827839487737858,24907,48211
817777686764523521,2507,10171
817536400337801217,2708,11045
817502432452313088,3118,0
817423860136083457,13478,31614
817415592588222464,884,5267
817181837579653120,7812,0
817171292965273600,1847,8254
817120970343411712,2394,11475
817056546584727552,1506,8095
816829038950027264,4358,0
816816676327063552,1881,9417
816697700272001025,2034,9181
816450570814898180,7395,28455
816336735214911488,1787,8126
816091915477250048,1974,8435
816062466425819140,938,0
816014286006976512,4843,0
815990720817401858,938,4666
815966073409433600,7812,20988
815745968457060357,3836,0
815736392542261248,2101,9246
815639385530101762,1544,7766
815390420867969024,3538,9754
814986499976527872,1182,7212
814638523311648768,2510,10623
814578408554463233,5422,0
814530161257443328,1728,8176
814153002265309185,8046,27056
813944609378369540,2934,0
813910438903693312,1720,8792
813812741911748608,12956,34393
813800681631023104,1635,7833
813217897535406080,6795,17565
813202720496779264,1692,8720
813187593374461952,4014,18696
813172488309972993,1797,8753
813157409116065792,2055,7325
813142292504645637,2228,8024
813130366689148928,417,4236
813127251579564032,2905,11149
813112105746448384,2550,9748
813096984823349248,3358,9965
813081950185472002,2579,9368
813066809284972545,1818,7502
813051746834595840,6804,19807
812781120811126785,1779,7112
812709060537683968,1343,6252
812503143955202048,1142,5701
812466873996607488,1789,7527
812372279581671427,3394,12853
811985624773361665,1303,6874
811744202451197953,1461,7109
811647686436880384,678,5291
811627233043480576,2822,11990
811386762094317568,5932,19719
810984652412424192,1320,5014
810896069567610880,1628,8473
810657578271330305,2446,10357
810284430598270976,10426,33066
810254108431155201,3136,13880
809920764300447744,3653,14689
809808892968534016,4541,0
809448704142938112,1357,6575
809220051211603969,5206,18752
809084759137812480,3267,12481
808838249661788160,2844,9591
808733504066486276,2023,7450
808501579447930884,2440,10683
808344865868283904,19279,39879
808134635716833280,5470,0
808106460588765185,2046,8340
808001312164028416,3282,11772
807621403335917568,3359,13760
807106840509214720,51217,110707
807059379405148160,6834,0
807010152071229440,3605,12379
806629075125202948,32123,70058
806620845233815552,5112,0
806576416489959424,1817,4639
806542213899489280,2205,9680
806242860592926720,10780,0
806219024703037440,1124,6100
805958939288408065,4968,0
805932879469572096,1791,7852
805826884734976000,1708,6197
805823200554876929,7403,0
805520635690676224,1543,5440
805487436403003392,2360,8291
805207613751304193,1617,7432
804738756058218496,3576,12905
804475857670639616,1876,5799
804413760345620481,2984,0
804026241225523202,14914,41784
803773340896923648,2566,9475
803692223237865472,6866,0
803638050916102144,3863,10326
803380650405482500,1756,7346
803321560782307329,4924,0
803276597545603072,2279,9476
802952499103731712,1861,8521
802624713319034886,2708,0
802600418706604034,1373,6720
802572683846291456,2339,8469
802323869084381190,5432,15232
802265048156610565,1282,6569
802239329049477120,2435,8592
802185808107208704,249,0
801958328846974976,1586,7327
801854953262350336,217,1712
801538201127157760,1940,7759
801285448605831168,766,5703
801167903437357056,5470,23022
801127390143516673,3680,0
801115127852503040,1975,7630
800859414831898624,89,643
800855607700029440,1506,0
800751577355128832,2607,10034
800513324630806528,2805,12418
800459316964663297,2043,8992
800443802682937345,3998,0
800388270626521089,2615,10543
800188575492947969,3668,0
800141422401830912,2377,14404
800018252395122689,12210,26686
799774291445383169,4336,0
799757965289017345,1993,7911
799422933579902976,1788,7643
799308762079035393,5045,0
799297110730567681,2541,9331
799063482566066176,2327,7636
798933969379225600,4124,12329
798925684722855936,1351,7119
798705661114773508,6161,0
798701998996647937,7178,0
798697898615730177,6041,0
798694562394996736,4605,0
798686750113755136,2164,0
798682547630837760,4402,0
798673117451325440,5188,0
798665375516884993,3658,0
798644042770751489,1731,0
798628517273620480,1854,0
798585098161549313,5229,0
798576900688019456,5441,0
798340744599797760,3119,0
798209839306514432,2411,9865
797971864723324932,2871,10874
797545162159308800,4589,13790
797236660651966464,6101,18808
797165961484890113,24,211
796904159865868288,8293,0
796865951799083009,1821,7269
796759840936919040,2805,11138
796563435802726400,6686,0
796484825502875648,1638,7142
796387464403357696,3857,10381
796177847564038144,13267,0
796149749086875649,13267,30283
796125600683540480,1677,4708
796116448414461957,2231,8583
796080075804475393,2151,7969
796031486298386433,3478,10210
795464331001561088,21787,46416
795400264262053889,2659,9428
795076730285391872,5062,15249
794983741416415232,3131,0
794926597468000259,2145,9615
794355576146903043,9589,0
794332329137291264,2514,9068
794205286408003585,3097,8712
793962221541933056,4541,15803
793845145112371200,1728,8724
793614319594401792,2902,0
793601777308463104,1508,7525
793500921481273345,2211,10052
793286476301799424,8534,23199
793271401113350145,2229,8203
793256262322548741,7729,18797
793241302385262592,3046,9912
793226087023144960,2692,9220
793210959003287553,2589,8415
793195938047070209,5232,14341
793180763617361921,1847,6506
793165685325201412,2606,8835
793150605191548928,1584,5812
793135492858580992,2331,6037
793120401413079041,3648,11946
792913359805018113,3684,13499
792883833364439040,3970,10636
792773781206999040,1564,6965
792394556390137856,3984,12619
792050063153438720,1658,6745
791821351946420224,19540,0
791784077045166082,8813,0
791780927877898241,3533,0
791774931465953280,20595,42438
791672322847637504,2902,11081
791406955684368384,3836,12413
791312159183634433,2351,8273
791026214425268224,3774,0
790987426131050500,1972,9263
790946055508652032,4358,15782
790723298204217344,2128,0
790698755171364864,1788,7768
790581949425475584,6589,19408
790337589677002753,1756,7387
790277117346975746,2934,11815
790227638568808452,3278,0
789986466051088384,2128,8754
789960241177853952,3793,0
789903600034189313,3855,9726
789628658055020548,1627,7048
789599242079838210,1777,6335
789530877013393408,3131,11023
789314372632018944,2119,8149
789280767834746880,4551,0
789268448748703744,2427,8609
789137962068021249,2590,9172
788908386943430656,11629,25898
788765914992902144,9589,25721
788552643979468800,6611,0
788412144018661376,4897,14634
788178268662984705,1962,6848
788150585577050112,1193,5761
788070120937619456,3193,0
788039637453406209,1214,5754
787810552592695296,2817,8109
787717603741622272,2564,9648
787397959788929025,2647,10272
787322443945877504,1617,7347
787111942498508800,6253,0
786963064373534720,7376,25117
786729988674449408,2257,0
786709082849828864,5685,17262
786664955043049472,2351,9983
786595970293370880,2891,8919
786363235746385920,3198,10220
786286427768250368,2625,7520
786233965241827333,4341,14306
786051337297522688,144,1348
786036967502913536,6457,0
785927819176054784,2963,10733
785872687017132033,1658,6303
785639753186217984,2093,7404
785533386513321988,1824,8521
785515384317313025,1152,5750
785264754247995392,1508,6852
785170936622350336,4457,11279
784826020293709826,2984,9525
784517518371221505,2347,8435
784431430411685888,1171,5408
784183165795655680,7403,18822
784057939640352768,10269,27894
783839966405230592,9963,28188
783821107061198850,1813,6930
783695101801398276,2968,9802
783466772167098368,2065,7919
783391753726550016,5052,15882
783347506784731136,5111,0
783334639985389568,10780,27281
783085703974514689,2007,7683
782969140009107456,6834,22676
782747134529531904,1306,7033
782722598790725632,4968,16168
782598640137187329,1761,7345
782305867769217024,5088,15601
782021823840026624,5681,0
781955203444699136,3117,10502
781661882474196992,2502,9813
781655249211752448,1043,3744
781524693396357120,5112,19449
781308096455073793,2365,6688
781251288990355457,1914,7871
781163403222056960,2566,9218
780931614150983680,6686,20358
780858289093574656,1850,6755
780800785462489090,1190,5157
780601303617732608,3106,11354
780543529827336192,1614,5914
780496263422808064,3390,0
780476555013349377,103,0
780459368902959104,997,4975
780192070812196864,2066,8164
780092040432480260,2113,0
780074436359819264,4533,11346
779834332596887552,6457,17612
779377524342161408,2860,8190
779124354206535695,16873,0
779056095788752897,4179,13793
778990705243029504,6602,18611
778774459159379968,9070,0
778764940568104960,335,818
778748913645780993,1199,6421
778650543019483137,1381,5389
778624900596654080,933,4315
778408200802557953,3982,12781
778396591732486144,11243,0
778383385161035776,1011,5474
778286810187399168,3036,9661
778039087836069888,2440,7939
778027034220126208,1481,6158
777953400541634568,3240,0
777885040357281792,1505,5965
777684233540206592,2708,10535
777641927919427584,3893,0
777621514455814149,2323,8159
777189768882946048,3953,13213
776819012571455488,12473,0
776813020089548800,1109,4590
776477788987613185,2538,8193
776249906839351296,8389,0
776218204058357768,14581,27886
776201521193218049,2317,8971
776113305656188928,3998,11030
776088319444877312,141,1701
775898661951791106,15402,0
775842724423557120,2445,10974
775733305207554048,3680,12989
775729183532220416,4253,12191
775364825476165632,2695,6905
775350846108426240,3602,9503
775085132600442880,4336,14542
774757898236878852,1643,8079
774639387460112384,1602,6328
774314403806253056,5045,20405
773985732834758656,3557,10087
773922284943896577,1612,6017
773704687002451968,1482,6191
773670353721753600,1215,5027
773547596996571136,5644,20673
773336787167145985,4631,0
773308824254029826,6899,21854
773247561583001600,2981,8828
773191612633579521,3775,9325
772877495989305348,3555,8004
772826264096874500,2190,7535
772615324260794368,3091,0
772581559778025472,1574,6066
772193107915964416,1275,5642
772152991789019136,1044,3567
772117678702071809,682,3528
772114945936949249,437,2569
772102971039580160,857,3749
771908950375665664,1740,6145
771770456517009408,3119,11212
771500966810099713,2403,7720
771380798096281600,4631,9858
771171053431250945,6826,0
771136648247640064,2692,8553
771102124360998913,1320,5830
771014301343748096,1532,6443
770787852854652928,1096,4589
770772759874076672,1314,4856
770655142660169732,1658,6874
770414278348247044,1913,5905
770293558247038976,1341,5807
770093767776997377,2790,0
770069151037685760,2111,7101
769940425801170949,8756,29061
769695466921623552,1547,6012
769335591808995329,7088,0
769212283578875904,1586,5048
768970937022709760,5950,13300
768909767477751808,2421,0
768855141948723200,816,3910
768609597686943744,1090,3829
768596291618299904,1182,4713
768554158521745409,5346,0
768473857036525572,3140,12697
768193404517830656,3240,10135
767884188863397888,1261,4440
767754930266464257,4924,14877
767500508068192258,2127,6993
767191397493538821,3441,11457
767122157629476866,2621,9490
766793450729734144,1243,4709
766714921925144576,343,2451
766693177336135680,724,3772
766423258543644672,1441,5605
766313316352462849,1720,6319
766078092750233600,2402,0
766069199026450432,767,3914
766008592277377025,455,3517
765719909049503744,1976,6767
765669560888528897,1126,4823
765395769549590528,3088,24956
765371061932261376,1986,6636
765222098633691136,3091,10849
764857477905154048,1637,6041
764259802650378240,1381,5599
763956972077010945,49,729
763837565564780549,3774,11692
763183847194451968,1344,5032
763167063695355904,2730,0
763103485927849985,2101,6875
762699858130116608,3278,11291
762471784394268675,5856,10452
762464539388485633,3793,9586
762316489655476224,1025,4477
762035686371364864,14177,29593
761976711479193600,1809,5004
761750502866649088,3560,0
761745352076779520,787,3991
761672994376806400,26512,45965
761599872357261312,1093,3857
761371037149827077,16525,0
761334018830917632,1329,4799
761292947749015552,993,4167
761227390836215808,1433,4963
761004547850530816,3193,10585
760893934457552897,877,3560
760656994973933572,1732,6137
760641137271070720,1179,4646
760539183865880579,3304,7040
760521673607086080,1272,3898
760290219849637889,10496,24919
760252756032651264,791,3689
760190180481531904,1631,5325
760153949710192640,29,0
759943073749200896,1915,5501
759846353224826880,1784,6247
759793422261743616,1753,5550
759557299618865152,1096,4376
759447681597108224,2257,7893
759446261539934208,453,1556
759197388317847553,1795,5672
759159934323924993,1063,0
759099523532779520,3785,13541
759047813560868866,1834,6028
758854675097526272,833,3308
758828659922702336,3528,10418
758740312047005698,1486,5340
758474966123810816,909,3535
758467244762497024,2018,4458
758405701903519748,1745,4842
758355060040593408,952,3128
758099635764359168,9070,17575
758041019896193024,337,2519
757741869644341248,3005,6386
757729163776290825,7148,0
757725642876129280,1100,4230
757611664640446465,1002,4270
757596066325864448,948,4046
757400162377592832,6268,14060
757393109802180609,1572,5417
757354760399941633,1293,4182
756998049151549440,1820,5839
756939218950160384,1825,6168
756651752796094464,1185,4680
756526248105566208,3276,9655
756303284449767430,996,3666
756288534030475264,16198,40947
756275833623502848,1395,5941
755955933503782912,2606,6790
755206590534418437,4872,15206
755110668769038337,10117,19566
754874841593970688,7179,0
754856583969079297,2298,6408
754747087846248448,473,2401
754482103782404096,1781,4903
754449512966619136,665,3482
754120377874386944,2151,7332
753655901052166144,1977,5420
753420520834629632,3216,7286
753398408988139520,1716,5324
753375668877008896,2113,7100
753298634498793472,5168,0
753294487569522689,950,3101
753039830821511168,19024,34376
753026973505581056,871,3631
752932432744185856,6253,11677
752917284578922496,1433,6464
752701944171524096,2594,0
752682090207055872,1444,5567
752660715232722944,1412,4050
752568224206688256,2071,5077
752519690950500352,3133,6809
752334515931054080,1003,3574
752309394570878976,14803,0
752173152931807232,1657,5513
751950017322246144,826,2832
751937170840121344,1187,4802
751830394383790080,1769,5405
751793661361422336,2594,5362
751598357617971201,2803,7363
751583847268179968,999,4076
751538714308972544,1143,4685
751456908746354688,917,2995
751251247299190784,5358,11663
751205363882532864,1654,5865
751132876104687617,1174,4697
750868782890057730,1238,4426
750719632563142656,4551,12183
750506206503038976,1041,4115
750429297815552001,3893,12211
750383411068534784,1035,4238
750381685133418496,25,666
750147208377409536,872,2895
750132105863102464,1166,3341
750117059602808832,1201,4029
750101899009982464,768,2829
750086836815486976,488,2010
750071704093859840,3011,7200
750056684286914561,814,2939
750041628174217216,562,2947
750026558547456000,714,2511
750011400160841729,815,2990
749996283729883136,752,2818
749981277374128128,2258,4760
749774190421639168,1200,4326
749417653287129088,1503,5637
749403093750648834,489,2423
749395845976588288,3132,7917
749317047558017024,2032,5071
749075273010798592,1870,5328
749064354620928000,1398,4478
749036806121881602,727,2873
748977405889503236,3110,9970
748932637671223296,2047,5381
748705597323898880,868,2571
748699167502000129,1448,4385
748692773788876800,1221,3939
748575535303884801,1789,5601
748568946752774144,602,2031
748346686624440324,1116,4817
748337862848962560,3705,7011
748324050481647620,680,3427
748307329658011649,649,3426
748220828303695873,7061,13064
747963614829678593,1942,5343
747933425676525569,2332,6145
747885874273214464,872,2711
747844099428986880,669,2608
747816857231626240,1050,4480
747651430853525504,143,1265
747648653817413632,5287,11879
747600769478692864,519,2152
747594051852075008,940,3396
747512671126323200,1469,5091
747461612269887489,934,3567
747439450712596480,1742,5008
747242308580548608,2611,0
747219827526344708,1428,4861
747204161125646336,825,3107
747103485104099331,3602,8828
746906459439529985,267,2708
746872823977771008,1921,5531
746818907684614144,1586,4924
746790600704425984,1452,4503
746757706116112384,3533,8774
746726898085036033,1627,5597
746542875601690625,1733,4666
746521445350707200,893,0
746507379341139972,984,4323
746369468511756288,1476,5728
746131877086527488,1980,6346
746056683365994496,734,3303
745789745784041472,958,3641
745712589599014916,2110,6457
745433870967832576,2294,6498
745422732645535745,2185,7905
745314880350101504,2458,6570
745074613265149952,3160,7224
745057283344719872,2040,6721
744995568523612160,564,2723
744971049620602880,2423,7248
744709971296780288,1425,5196
744334592493166593,1919,6302
744234799360020481,70027,143657
744223424764059648,323,1526
743980027717509120,996,3871
743895849529389061,873,3386
743835915802583040,1850,0
743609206067040256,1258,4137
743595368194129920,5909,16837
743545585370791937,855,3261
743510151680958465,3398,7368
743253157753532416,1112,3912
743222593470234624,1724,5703
743210557239623680,1230,3546
742534281772302336,3263,6515
742528092657332225,1784,4077
742465774154047488,3574,6701
742423170473463808,3390,9030
742385895052087300,1763,6254
742161199639494656,1238,3982
742150209887731712,1389,4681
741793263812808706,1381,4203
741743634094141440,2477,7513
741438259667034112,739,3393
741303864243200000,2899,8080
741099773336379392,4982,9152
741067306818797568,2790,8811
740995100998766593,2447,5783
740711788199743490,855,3131
740699697422163968,703,2641
740676976021798912,6161,16709
740373189193256964,12054,32339
740365076218183684,384,2229
740359016048689152,792,3032
740214038584557568,1775,6141
739979191639244800,5346,18385
739932936087216128,976,3729
739844404073074688,783,3503
739623569819336705,1231,3480
739606147276148736,1484,4954
739544079319588864,19113,36226
739485634323156992,2623,6557
739238157791694849,52417,106366
738891149612572673,6,89
738885046782832640,1039,3491
738883359779196928,714,3022
738537504001953792,1382,4675
738402415918125056,735,2990
738184450748633089,1101,3949
738166403467907072,3013,8020
738156290900254721,578,2267
737826014890496000,1594,4802
737800304142471168,3153,9200
737678689543020544,1188,4609
737445876994609152,4029,9384
737322739594330112,726,3307
737310737551491075,6696,13423
736736130620620800,1531,3856
736392552031657984,6611,16224
736365877722001409,1104,3644
736225175608430592,2524,7452
736010884653420544,2685,7203
735991953473572864,1030,3281
735648611367784448,1002,3717
735635087207878657,2125,5624
735274964362878976,4511,11982
735256018284875776,800,3048
735137028879360001,872,2866
734912297295085568,471,2530
734787690684657664,5721,11487
734776360183431168,484,2311
734559631394082816,352,1368
733828123016450049,712,3284
733822306246479872,919,3375
733482008106668032,848,2866
733460102733135873,1131,3842
733109485275860992,15402,49004
732732193018155009,479,2216
732726085725589504,790,3278
732585889486888962,711,3336
732375214819057664,2268,7388
732005617171337216,4843,13603
731285275100512256,896,3202
731156023742988288,1138,3526
730924654643314689,1776,5613
730573383004487680,1904,4433
730427201120833536,936,3185
730211855403241472,953,3473
730196704625098752,1695,4405
729854734790754305,1006,3698
729838605770891264,338,1594
